"Comp","In","Type","Date","Round","Match","Score","Tries","Points","Adv","Time","Adv"
"S12","AUS",NA,"Sat, 08 Mar 1997","2","Waratahs v Chiefs","26-33","2:3","1-4","Sydney",NA,"-12"
"S12","SAF",NA,"Fri, 07 Mar 1997","2","Free State v Blues","15-24","0:2","0-4","Bloemfontein",NA,"-12"
"S12","NZL",NA,"Fri, 07 Mar 1997","2","Crusaders v Hurricanes","19-17","1:2","4-1","Christchurch",NA,"-12"
"S12","NZL",NA,"Fri, 28 Feb 1997","1","Hurricanes v Chiefs","18-23","2:3","1-4","Palmerston North",NA,"-12"
"S12","SAF",NA,"Sun, 02 Mar 1997","1","Free State v Gauteng Lions","20-24","2:2","1-4","Bloemfontein",NA,"-12"
"S12","SAF",NA,"Sat, 01 Mar 1997","1","Northern Transvaal v Blues","40-40","4:5","3-3","Pretoria",NA,"0"
"S12","AUS",NA,"Sat, 01 Mar 1997","1","Reds v Brumbies","19-24","3:3","1-4","Brisbane",NA,"-12"
"S12","NZL",NA,"Sat, 30 May 1998","Final","Blues v Crusaders","13-20","1:2","1-4","Auckland",NA,"-12"
"S12","NZL",NA,"Sun, 24 May 1998","Semi","Crusaders v Sharks","36-32","4:5","5-2","Christchurch",NA,"-12"
"S12","NZL",NA,"Sat, 23 May 1998","Semi","Blues v Highlanders","37-31","4:3","5-1","Auckland",NA,"-12"
"S12","SAF",NA,"Sat, 16 May 1998","12","Lions v Stormers","41-7","6:1","5-0","Johannesburg",NA,"13+"
"S12","SAF",NA,"Sat, 16 May 1998","12","Sharks v Crusaders","20-32","3:4","0-5","Durban",NA,"-12"
"S12","SAF",NA,"Sat, 16 May 1998","12","Bulls v Highlanders","26-31","2:4","1-5","Pretoria",NA,"-12"
"S12","AUS",NA,"Sat, 16 May 1998","12","Brumbies v Reds","23-16","2:1","4-1","Canberra",NA,"-12"
"S12","NZL",NA,"Sat, 16 May 1998","12","Hurricanes v Blues","34-45","5:6","1-5","Wellington",NA,"-12"
"S12","NZL",NA,"Fri, 15 May 1998","12","Chiefs v Waratahs","21-33","2:3","0-4","Waikato",NA,"-12"
"S12","SAF",NA,"Sat, 09 May 1998","11","Lions v Crusaders","25-34","3:4","0-5","Bloemfontein",NA,"-12"
"S12","SAF",NA,"Sat, 09 May 1998","11","Stormers v Highlanders","15-36","2:6","0-5","Cape Town",NA,"13+"
"S12","AUS",NA,"Sat, 09 May 1998","11","Waratahs v Hurricanes","36-32","4:2","5-1","Sydney",NA,"-12"
"S12","NZL",NA,"Fri, 08 May 1998","11","Chiefs v Brumbies","35-15","4:3","5-0","Hamilton",NA,"13+"
"S12","SAF",NA,"Sun, 10 May 1998","11","Sharks v Reds","30-20","4:1","5-0","Durban",NA,"-12"
"S12","SAF",NA,"Sun, 03 May 1998","10","Lions v Reds","16-20","1:3","1-4","Johannesburg",NA,"-12"
"S12","SAF",NA,"Sat, 02 May 1998","10","Bulls v Sharks","12-8","0:1","4-1","Pretoria",NA,"-12"
"S12","AUS",NA,"Sat, 02 May 1998","10","Brumbies v Blues","24-27","3:3","1-4","Canberra",NA,"-12"
"S12","NZL",NA,"Sat, 02 May 1998","10","Chiefs v Stormers","26-7","2:1","4-0","Rotorua",NA,"13+"
"S12","AUS",NA,"Fri, 01 May 1998","10","Waratahs v Highlanders","23-22","2:1","4-1","Sydney",NA,"-12"
"S12","NZL",NA,"Fri, 01 May 1998","10","Hurricanes v Crusaders","17-39","2:4","0-5","Napier",NA,"13+"
"S12","NZL",NA,"Sun, 26 Apr 1998","9","Blues v Stormers","74-28","11:4","5-1","Auckland",NA,"13+"
"S12","SAF",NA,"Sat, 25 Apr 1998","9","Sharks v Chiefs","52-18","7:2","5-0","Port Elizabeth",NA,"13+"
"S12","AUS",NA,"Sat, 25 Apr 1998","9","Reds v Bulls","28-15","3:2","4-0","Brisbane",NA,"13+"
"S12","AUS",NA,"Fri, 24 Apr 1998","9","Brumbies v Hurricanes","29-32","4:2","2-4","Canberra",NA,"-12"
"S12","NZL",NA,"Fri, 24 Apr 1998","9","Crusaders v Highlanders","40-24","4:3","5-0","Christchurch",NA,"13+"
"S12","NZL",NA,"Sun, 19 Apr 1998","8","Highlanders v Hurricanes","29-8","2:1","4-0","Dunedin",NA,"13+"
"S12","SAF",NA,"Sat, 18 Apr 1998","8","Lions v Chiefs","35-36","2:5","1-5","Bloemfontein",NA,"-12"
"S12","AUS",NA,"Sat, 18 Apr 1998","8","Reds v Waratahs","17-17","1:1","2-2","Brisbane",NA,"0"
"S12","NZL",NA,"Sat, 18 Apr 1998","8","Crusaders v Stormers","37-25","3:3","4-0","Christchurch",NA,"-12"
"S12","NZL",NA,"Fri, 17 Apr 1998","8","Blues v Bulls","34-24","4:2","5-0","Pukekohe",NA,"-12"
"S12","NZL",NA,"Mon, 13 Apr 1998","7","Blues v Waratahs","47-25","7:3","5-0","Auckland",NA,"13+"
"S12","SAF",NA,"Sat, 11 Apr 1998","7","Sharks v Lions","30-18","3:2","4-0","Durban",NA,"-12"
"S12","AUS",NA,"Sat, 11 Apr 1998","7","Reds v Stormers","19-14","1:2","4-1","Brisbane",NA,"-12"
"S12","NZL",NA,"Sat, 11 Apr 1998","7","Crusaders v Brumbies","38-26","5:3","5-0","Timaru",NA,"-12"
"S12","NZL",NA,"Sat, 11 Apr 1998","7","Chiefs v Bulls","37-25","5:3","5-0","Hamilton",NA,"-12"
"S12","AUS",NA,"Sun, 05 Apr 1998","6","Waratahs v Sharks","51-18","7:2","5-0","Sydney",NA,"13+"
"S12","NZL",NA,"Sun, 05 Apr 1998","6","Crusaders v Bulls","31-20","4:3","5-0","Christchurch",NA,"-12"
"S12","AUS",NA,"Sat, 04 Apr 1998","6","Reds v Blues","33-18","3:2","4-0","Brisbane",NA,"13+"
"S12","NZL",NA,"Sat, 04 Apr 1998","6","Highlanders v Chiefs","29-11","4:1","5-0","Dunedin",NA,"13+"
"S12","SAF",NA,"Fri, 03 Apr 1998","6","Stormers v Brumbies","34-3","5:0","5-0","Cape Town",NA,"13+"
"S12","NZL",NA,"Fri, 03 Apr 1998","6","Hurricanes v Lions","30-15","2:2","4-0","New Plymouth",NA,"13+"
"S12","NZL",NA,"Sun, 29 Mar 1998","5","Hurricanes v Sharks","23-39","3:6","0-5","Palmerston North",NA,"13+"
"S12","SAF",NA,"Sat, 28 Mar 1998","5","Stormers v Waratahs","35-33","5:3","5-1","Wellington,S.A.",NA,"-12"
